number,name,type,detail_type,parent_number,is_active,opening_balance,opening_balance_date
1000,Assets,asset,group,,TRUE,,
1100,Current Assets,asset,group,1000,TRUE,,
1110,Cash & Cash Equivalents,asset,group,1100,TRUE,,
1111,Petty Cash,asset,cash_on_hand,1110,TRUE,500,1/1/24
1112,Cash on Hand,asset,cash_on_hand,1110,TRUE,2000,1/1/24
1120,Bank Accounts,asset,group,1110,TRUE,,
1121,Operating Account - Bank A,asset,bank,1120,TRUE,85000,1/1/24
1122,Payroll Account,asset,bank,1120,TRUE,25000,1/1/24
1123,Savings Account,asset,bank,1120,TRUE,15000,1/1/24
1130,Accounts Receivable,asset,group,1100,TRUE,,
1131,Trade Receivables,asset,ar,1130,TRUE,45000,1/1/24
1132,Employee Advances,asset,ar,1130,TRUE,1200,1/1/24
1133,Other Receivables,asset,ar,1130,TRUE,3200,1/1/24
1139,Allowance for Doubtful Accounts,asset,contra_asset,1130,TRUE,-2250,1/1/24
1140,Inventory,asset,group,1100,TRUE,,
1141,Raw Materials,asset,inventory,1140,TRUE,28000,1/1/24
1142,Work in Progress,asset,inventory,1140,TRUE,15000,1/1/24
1143,Finished Goods,asset,inventory,1140,TRUE,25000,1/1/24
1150,Prepaid Expenses,asset,group,1100,TRUE,,
1151,Prepaid Insurance,asset,prepaid,1150,TRUE,3600,1/1/24
1152,Prepaid Rent,asset,prepaid,1150,TRUE,6000,1/1/24
1153,Prepaid Subscriptions,asset,prepaid,1150,TRUE,1200,1/1/24
1160,Short-term Investments,asset,group,1100,TRUE,,
1161,Marketable Securities,asset,investment,1160,TRUE,25000,1/1/24
1170,Other Current Assets,asset,group,1100,TRUE,,
1171,Interest Receivable,asset,ar,1170,TRUE,850,1/1/24
1172,Dividends Receivable,asset,ar,1170,TRUE,1500,1/1/24
1173,Tax Refunds Receivable,asset,ar,1170,TRUE,2300,1/1/24
1200,Non-Current Assets,asset,group,1000,TRUE,,
1210,"Property, Plant & Equipment",asset,group,1200,TRUE,,
1211,Land,asset,fixed_asset,1210,TRUE,150000,1/1/24
1212,Buildings,asset,fixed_asset,1210,TRUE,200000,1/1/24
1213,Leasehold Improvements,asset,fixed_asset,1210,TRUE,35000,1/1/24
1214,Machinery & Equipment,asset,fixed_asset,1210,TRUE,85000,1/1/24
1215,Vehicles,asset,fixed_asset,1210,TRUE,45000,1/1/24
1216,Office Furniture & Fixtures,asset,fixed_asset,1210,TRUE,25000,1/1/24
1217,Computer Equipment,asset,fixed_asset,1210,TRUE,18000,1/1/24
1219,Accumulated Depreciation - PPE,asset,contra_asset,1210,TRUE,-95000,1/1/24
1220,Intangible Assets,asset,group,1200,TRUE,,
1221,Goodwill,asset,intangible,1220,TRUE,50000,1/1/24
1222,Patents,asset,intangible,1220,TRUE,15000,1/1/24
1223,Trademarks,asset,intangible,1220,TRUE,8000,1/1/24
1224,Software Licenses,asset,intangible,1220,TRUE,12000,1/1/24
1229,Accumulated Amortization,asset,contra_asset,1220,TRUE,-8000,1/1/24
1230,Long-term Investments,asset,group,1200,TRUE,,
1231,Investment in Subsidiaries,asset,investment,1230,TRUE,100000,1/1/24
1232,Long-term Securities,asset,investment,1230,TRUE,45000,1/1/24
1240,Other Non-Current Assets,asset,group,1200,TRUE,,
1241,Security Deposits,asset,other,1240,TRUE,5000,1/1/24
1242,Deferred Tax Assets,asset,other,1240,TRUE,8500,1/1/24
2000,Liabilities,liability,group,,TRUE,,
2100,Current Liabilities,liability,group,2000,TRUE,,
2110,Accounts Payable,liability,group,2100,TRUE,,
2111,Trade Payables,liability,ap,2110,TRUE,32000,1/1/24
2112,Credit Card Payables,liability,ap,2110,TRUE,4500,1/1/24
2120,Accrued Expenses,liability,group,2100,TRUE,,
2121,Accrued Salaries & Wages,liability,accrued,2120,TRUE,18000,1/1/24
2122,Accrued Interest,liability,accrued,2120,TRUE,1200,1/1/24
2123,Accrued Utilities,liability,accrued,2120,TRUE,850,1/1/24
2124,Accrued Professional Fees,liability,accrued,2120,TRUE,2500,1/1/24
2130,Taxes Payable,liability,group,2100,TRUE,,
2131,Income Tax Payable,liability,ap,2130,TRUE,12500,1/1/24
2132,Sales Tax Payable,liability,ap,2130,TRUE,3800,1/1/24
2133,Payroll Tax Payable,liability,ap,2130,TRUE,4200,1/1/24
2134,Property Tax Payable,liability,ap,2130,TRUE,2100,1/1/24
2140,Employee Benefits Payable,liability,group,2100,TRUE,,
2141,Health Insurance Payable,liability,ap,2140,TRUE,3200,1/1/24
2142,Retirement Benefits Payable,liability,ap,2140,TRUE,5600,1/1/24
2143,Vacation/PTO Payable,liability,ap,2140,TRUE,8900,1/1/24
2150,Unearned Revenue,liability,group,2100,TRUE,,
2151,Deferred Revenue,liability,deferred_revenue,2150,TRUE,15000,1/1/24
2152,Customer Deposits,liability,deferred_revenue,2150,TRUE,7500,1/1/24
